EVENT	RDCLASS	SPD_KM	MED_INC	pop_dens_200	veh_type	BAD_WEAT	SEVERITY	DARK	Park_10	hosp_50	veh_mvt	Comm_Per	Res_Per	Inter_Acc
5310	4	60	41776	5020.3623504	car	0	0	0	0	0	straight	63.0439420848	9.1799590333	0
5017	4	60	25963	6078.85252948	car	0	1	0	0	0	leftturn	8.0583331445	46.9959101065	1
5387	4	60	34318	7527.08842394	car	1	1	1	0	0	other	1.7383141844	66.4784594065	1
1534	5	50	26686	9404.36706218	car	1	1	0	0	0	leftturn	6.4606468083	66.495316977	0
2448	5	50	40106	11330.0473911	car	0	1	0	0	0	straight	3.1282360658	50.1992559647	1
2949	5	50	35870	8976.41510787	car	0	1	0	0	0	backup	2.0666241463	64.7383157654	0
1930	5	50	38964	7333.2364596	car	0	1	1	0	0	straight	4.4728583087	75.6027948991	1
240	5	50	56287	230.546788399	car	0	1	1	0	0	other	0	0	0
4853	4	60	29445	9467.24708769	car	0	0	0	0	0	straight	2.3934364585	52.2103581282	1
4948	4	60	50431	15027.3165381	car	1	1	0	0	0	rightturn	13.7667932752	57.8484754578	1
4063	4	60	27786	5138.03814623	car	1	1	0	0	0	backup	15.2056528377	49.1203721832	0
3688	4	60	26753	9622.61362254	VTB	1	1	0	0	0	rightturn	3.6062671721	66.0505867381	1
3514	4	60	96383	267.625770551	VTB	1	1	0	0	0	rightturn	24.739067951	28.1511154735	1
4016	4	60	14682	45325.8697374	VTB	1	1	1	0	0	other	23.0766908503	57.532664282	0
3441	4	60	54726	4575.95663215	VTB	0	1	0	0	0	straight	11.3870097063	63.423649922	1
5767	2	80	23262	18498.8156027	car	1	1	1	0	0	straight	10.038133474	57.0865188273	1
3167	5	50	44357	5850.37060039	car	1	1	1	0	0	straight	56.235113704	19.6822762498	0
4079	4	60	34521	2476.1169016	car	1	0	1	0	0	straight	14.1556936848	60.808264601	1
1683	5	50	35152	16538.5797222	VTB	1	1	0	0	0	leftturn	1.7113028959	67.6083898369	1
1654	5	50	111196	4705.86840412	car	1	1	1	0	0	other	2.7652434215	63.2117018088	0
2847	5	50	37215	3804.75698456	car	0	2	0	0	0	straight	28.4247932489	35.4357265744	1
782	5	50	37444	4388.9324286	VTB	0	1	0	0	0	straight	1.2639415953	41.6889850794	0
5437	4	60	39072	11286.1426737	car	0	1	0	0	0	straight	0.44802664	64.8977376543	0
5014	4	60	47978	15126.9257324	car	0	1	1	0	0	straight	11.4933914029	57.4691062177	1
448	5	50	48825	4929.53103589	car	0	3	0	1	0	backup	2.8079954595	49.6131807198	1
4724	4	60	23266	14465.9625057	car	0	2	0	0	0	leftturn	4.8641824528	29.8459648842	1
5569	4	60	43296	682.037867979	VTB	1	1	1	0	0	other	0	0.8913007206	0
4598	4	60	35331	6254.70819587	car	0	2	1	0	0	straight	7.602210407	68.4271609539	1
1899	5	50	36796	5461.59352807	car	0	1	0	0	0	straight	0.8583184942	50.9908891388	1
2934	5	50	39636	13503.0137295	car	0	1	0	0	0	straight	0.5752064312	80.8805921821	1
1521	5	50	26686	9404.36706218	car	0	1	0	0	0	straight	3.4594164659	52.1189739094	0
2435	5	50	32467	9997.111363	car	1	1	0	0	0	straight	14.3666988432	57.540852645	0
3367	5	50	47665	2810.10739245	car	1	1	0	0	0	straight	0.2786402288	73.6008940429	1
2295	5	50	29910	16860.0749009	car	0	1	1	0	0	other	4.2517247813	84.2848022902	0
2452	5	50	57911	7445.72266332	VTB	1	1	0	0	0	leftturn	2.301617435	73.9294034318	1
3194	5	50	44357	5850.37060039	VTB	1	1	1	0	0	backup	1.1141690219	60.4903205679	1
218	5	50	53390	907.478351111	car	0	1	1	0	0	leftturn	33.2402064326	61.1432784306	1
3551	4	60	55714	4839.95834355	car	1	0	0	0	0	straight	0	79.7342739679	1
5620	3	60	33811	16707.5168115	car	1	1	0	0	0	straight	12.0493660562	58.6197515891	0
3751	4	60	14682	45325.8697374	VTB	0	0	0	0	0	rightturn	19.8899492515	60.5758938123	0
